Year,Month,Stations,prec,tmax,tmin
2015,Month_1,sioux city area,16.28,1.61,-10.3
2015,Month_10,sioux city area,21.85,19.57,5.34
2015,Month_11,sioux city area,115.58,11.07,-0.67
2015,Month_12,sioux city area,72.65,3.44,-4.85
2015,Month_2,sioux city area,8.15,-1.03,-13.47
2015,Month_3,sioux city area,22.36,14.66,-3.58
2015,Month_4,sioux city area,64.27,18.59,4.13
2015,Month_5,sioux city area,89.67,21.59,9.91
2015,Month_6,sioux city area,106.44,28.07,16.04
2015,Month_7,sioux city area,144.27,29.17,17.52
2015,Month_8,sioux city area,151.64,26.99,15.61
2015,Month_9,sioux city area,79.51,26.17,14.19
2016,Month_1,sioux city area,18.56,-1.04,-9.96
2016,Month_10,sioux city area,40.65,19.3,6.18
2016,Month_11,sioux city area,51.82,13.77,0.36
2016,Month_12,sioux city area,37.6,1.22,-9.32
2016,Month_2,sioux city area,28.22,3.98,-5.42
2016,Month_3,sioux city area,77.73,13.8,-0.09
2016,Month_4,sioux city area,147.58,17.15,4.63
2016,Month_5,sioux city area,127.52,23.26,8.89
2016,Month_6,sioux city area,35.06,31.07,17.26
2016,Month_7,sioux city area,55.64,30.38,18.51
2016,Month_8,sioux city area,128.28,29.34,17.37
2016,Month_9,sioux city area,70.62,26.09,13.69
2017,Month_1,sioux city area,17.04,0.23,-7.71
2017,Month_10,sioux city area,173.5,17.06,4.12
2017,Month_11,sioux city area,2.03,9.89,-3.96
2017,Month_12,sioux city area,9.92,1.29,-10.72
2017,Month_2,sioux city area,23.37,8.12,-4.68
2017,Month_3,sioux city area,38.37,10.23,-1.38
2017,Month_4,sioux city area,74.43,16.35,3.83
2017,Month_5,sioux city area,87.39,22.37,8.35
2017,Month_6,sioux city area,43.69,30.61,14.81
2017,Month_7,sioux city area,21.35,32.11,18.81
2017,Month_8,sioux city area,207.28,26.63,14.43
2017,Month_9,sioux city area,55.38,25.98,12.41
2018,Month_1,sioux city area,35.07,-1.09,-13.12
2018,Month_10,sioux city area,72.14,14.78,2.08
2018,Month_11,sioux city area,23.63,4.7,-6.22
2018,Month_12,sioux city area,48.02,0.99,-7.83
2018,Month_2,sioux city area,26.68,-2.62,-13.73
2018,Month_3,sioux city area,49.54,7.4,-2.03
2018,Month_4,sioux city area,28.97,11.83,-1.65
2018,Month_5,sioux city area,94.24,25.75,12.6
2018,Month_6,sioux city area,219.71,28.61,18.06
2018,Month_7,sioux city area,58.43,29.34,16.65
2018,Month_8,sioux city area,114.57,27.71,15.93
2018,Month_9,sioux city area,188.48,24.15,12.87
2019,Month_1,sioux city area,2.81,-0.68,-10.81
2019,Month_10,sioux city area,60.97,13.52,1.09
2019,Month_11,sioux city area,35.83,6.74,-5.17
2019,Month_12,sioux city area,49.8,2.04,-7.53
2019,Month_2,sioux city area,35.83,-5.32,-15.08
2019,Month_3,sioux city area,73.42,4.65,-5.07
2019,Month_4,sioux city area,65.29,16.54,2.91
2019,Month_5,sioux city area,159.27,19.53,7.99
2019,Month_6,sioux city area,48.02,27.91,14.96
2019,Month_7,sioux city area,177.55,29.23,18.35
2019,Month_8,sioux city area,49.8,27.53,16.04
2019,Month_9,sioux city area,102.12,26.69,14.6
2020,Month_1,sioux city area,23.12,-0.99,-9.44
2020,Month_10,sioux city area,29.73,14.21,0.48
2020,Month_11,sioux city area,53.1,11.8,-3.11
2020,Month_12,sioux city area,12.95,4.3,-9.07
2020,Month_2,sioux city area,7.63,3.52,-8.87
2020,Month_3,sioux city area,82.56,10.25,-0.72
2020,Month_4,sioux city area,16.79,16.63,0.87
2020,Month_5,sioux city area,65.03,19.98,9.18
2020,Month_6,sioux city area,39.63,31.24,17.54
2020,Month_7,sioux city area,105.42,31.09,18.51
2020,Month_8,sioux city area,33.54,29.93,16.04
2020,Month_9,sioux city area,40.65,24.31,10.13
2021,Month_1,sioux city area,33.04,1.04,-7.26
2021,Month_10,sioux city area,71.63,19.21,5.16
2021,Month_11,sioux city area,4.32,11.67,-2.46
2021,Month_12,sioux city area,16.52,6.49,-6.9
2021,Month_2,sioux city area,21.6,-5.56,-16.33
2021,Month_3,sioux city area,91.96,12.67,-0.93
2021,Month_4,sioux city area,37.1,17.28,2.24
2021,Month_5,sioux city area,70.38,21.41,9.19
2021,Month_6,sioux city area,33.28,30.78,15.72
2021,Month_7,sioux city area,36.33,30.33,17.13
2021,Month_8,sioux city area,102.63,30.23,16.72
2021,Month_9,sioux city area,64.53,26.86,11.97
2022,Month_1,sioux city area,4.08,2.44,-13.83
2022,Month_10,sioux city area,12.2,19.77,1.45
2022,Month_11,sioux city area,18.55,8.76,-5.96
2022,Month_12,sioux city area,46.5,-1.54,-11.16
2022,Month_2,sioux city area,2.54,4.37,-12.52
2022,Month_3,sioux city area,47.5,10.5,-4.98
2022,Month_4,sioux city area,36.6,15.76,0.43
2022,Month_5,sioux city area,55.39,22.62,9.84
2022,Month_6,sioux city area,29.22,30.41,15.37
2022,Month_7,sioux city area,47.25,31.77,17.74
2022,Month_8,sioux city area,70.62,30.54,16.27
2022,Month_9,sioux city area,19.31,27.76,10.89
2023,Month_1,sioux city area,37.11,-1.25,-10.57
2023,Month_10,sioux city area,113.3,17.04,4.7
2023,Month_11,sioux city area,5.09,12.2,-3.37
2023,Month_12,sioux city area,40.4,5.93,-4.93
2023,Month_2,sioux city area,33.79,2.24,-9.11
2023,Month_3,sioux city area,30.49,5.9,-4.78
2023,Month_4,sioux city area,31.76,17.61,2.09
2023,Month_5,sioux city area,111.77,25.54,10.89
2023,Month_6,sioux city area,45.47,29.77,15.4
2023,Month_7,sioux city area,74.69,29.73,15.97
2023,Month_8,sioux city area,63.25,30.8,17.2
2023,Month_9,sioux city area,114.05,28.0,12.87
2024,Month_1,sioux city area,43.95,-3.64,-11.61
2024,Month_10,sioux city area,15.75,22.76,4.95
2024,Month_11,sioux city area,70.36,9.93,-1.87
2024,Month_12,sioux city area,0.01,5.83,-10.35
2024,Month_2,sioux city area,10.92,9.98,-3.95
2024,Month_3,sioux city area,71.89,11.88,-3.28
2024,Month_4,sioux city area,108.72,17.91,3.83
2024,Month_5,sioux city area,146.06,23.66,9.0
2024,Month_6,sioux city area,84.85,29.12,15.5
2024,Month_7,sioux city area,187.97,29.15,17.02
2024,Month_8,sioux city area,61.23,27.89,15.97
2024,Month_9,sioux city area,5.6,28.41,11.09
