prec,2015,11.43,10.94,13.47,36.58,81.03,56.15,91.44,167.39,76.46,34.55,103.13,51.83
tmin,2015,-10.87,-13.21,-3.72,3.43,9.5,15.13,15.7,14.33,13.7,5.66,-0.59,-5.47
tmax,2015,-0.7,-0.95,12.83,19.65,22.81,27.89,29.87,27.19,26.48,20,9.78,2.15
prec,2016,9.41,26.43,37.6,130.05,127.26,71.12,53.09,91.96,173.24,38.88,43.43,29.98
tmin,2016,-11.38,-6.25,-0.5,4,9,16.65,16.65,16,13.03,5.79,0.44,-10.02
tmax,2016,-3.05,1.44,12.58,17.26,23.58,30.5,29.59,28.35,25.65,18.69,12.91,-0.73
prec,2017,22.36,14.49,54.87,74.69,172.22,67.06,30.99,146.31,93.98,109.48,0.52,5.86
tmin,2017,-9.18,-5.22,-2.49,4.37,8.17,14.62,17.31,13.82,12.07,4.39,-3.51,-9.98
tmax,2017,-1.16,6.55,8.12,16.76,22.54,29.69,31.31,26.22,26.39,17.72,9.4,0.14
prec,2018,11.95,17.29,69.61,49.03,107.7,325.13,98.05,145.8,233.17,70.37,36.59,44.72
tmin,2018,-13.03,-14.4,-2.99,-2.35,12.24,17.49,16.57,15.2,12.84,2.48,-5.93,-8.2
tmax,2018,-1.72,-3.13,6.27,9.48,26.04,29.12,28.69,27.26,24.54,15.28,4.56,0.37
prec,2019,4.08,34.56,75.7,106.43,213.36,80.53,148.35,73.16,73.16,119.63,49.03,38.61
tmin,2019,-12.54,-15.04,-6.19,2.54,7.78,15.06,16.63,15.31,13.69,1.31,-5.54,-8
tmax,2019,-2.06,-6.03,4.07,15.72,19.73,28.09,29.35,27.3,25.02,12.63,5,-0.7
prec,2020,21.36,1.02,58.95,27.69,72.14,66.8,31.25,22.1,21.08,15.5,27.44,9.91
tmin,2020,-11,-9.54,-1.91,0.61,9.5,17.4,17.71,15.56,10.1,1.2,-2.28,-8.5
tmax,2020,-2.3,0.48,8.74,13.87,19.7,31.41,30.66,29.46,24.56,13.61,10.86,4.17
prec,2021,21.59,19.06,59.69,58.43,57.66,26.16,116.84,137.67,102.87,108.46,5.84,20.84
tmin,2021,-7.67,-15.18,-0.77,2.2,9.09,16.09,16.86,16.85,12.2,6.43,-1.67,-6.74
tmax,2021,0.19,-6.17,12.33,15.88,21.95,31.76,29.66,28.69,26.85,19.19,11.17,4.93
prec,2022,3.31,2.29,30.74,36.08,63.25,25.15,59.95,52.83,13.21,15.24,20.08,56.4
tmin,2022,-14.5,-12.78,-3.81,0.72,9.66,15.89,17.26,15.88,11.02,3.01,-4.04,-11.48
tmax,2022,0.95,2.88,8.81,14,23.67,29.67,30.79,29.7,27.66,19.91,7.59,-3.54
prec,2023,46.24,36.58,37.34,38.11,96.52,74.94,71.38,232.16,57.91,111.51,12.7,44.71
tmin,2023,-12.07,-10.83,-5.77,2.07,11.11,16.03,14.96,16.81,13.15,5.61,-2.37,-3.92
tmax,2023,-3.52,-0.5,3.69,16.5,25.82,29.4,28.59,29.44,27.61,17.01,11.8,5.47
prec,2024,28.45,2.54,54.61,146.05,169.93,227.59,68.33,52.83,19.05,20.32,70.36,1.02
tmin,2024,-11.45,-3.85,-3.06,4.11,10.63,16.09,16.67,15.88,12.41,6.26,-1.48,-12.43
tmax,2024,-4.43,8.69,11.63,17.09,24.07,28.04,28.63,27.8,27.88,23.18,8.74,0.49
