Year,Month,Stations,prec,tmax,tmin
2015,Month_1,siouxcenter,11.43,-0.7,-10.87
2015,Month_10,siouxcenter,34.55,20.0,5.66
2015,Month_11,siouxcenter,103.13,9.78,-0.59
2015,Month_12,siouxcenter,51.83,2.15,-5.47
2015,Month_2,siouxcenter,10.94,-0.95,-13.21
2015,Month_3,siouxcenter,13.47,12.83,-3.72
2015,Month_4,siouxcenter,36.58,19.65,3.43
2015,Month_5,siouxcenter,81.03,22.81,9.5
2015,Month_6,siouxcenter,56.15,27.89,15.13
2015,Month_7,siouxcenter,91.44,29.87,15.7
2015,Month_8,siouxcenter,167.39,27.19,14.33
2015,Month_9,siouxcenter,76.46,26.48,13.7
2016,Month_1,siouxcenter,9.41,-3.05,-11.38
2016,Month_10,siouxcenter,38.88,18.69,5.79
2016,Month_11,siouxcenter,43.43,12.91,0.44
2016,Month_12,siouxcenter,29.98,-0.73,-10.02
2016,Month_2,siouxcenter,26.43,1.44,-6.25
2016,Month_3,siouxcenter,37.6,12.58,-0.5
2016,Month_4,siouxcenter,130.05,17.26,4.0
2016,Month_5,siouxcenter,127.26,23.58,9.0
2016,Month_6,siouxcenter,71.12,30.5,16.65
2016,Month_7,siouxcenter,53.09,29.59,16.65
2016,Month_8,siouxcenter,91.96,28.35,16.0
2016,Month_9,siouxcenter,173.24,25.65,13.03
2017,Month_1,siouxcenter,22.36,-1.16,-9.18
2017,Month_10,siouxcenter,109.48,17.72,4.39
2017,Month_11,siouxcenter,0.52,9.4,-3.51
2017,Month_12,siouxcenter,5.86,0.14,-9.98
2017,Month_2,siouxcenter,14.49,6.55,-5.22
2017,Month_3,siouxcenter,54.87,8.12,-2.49
2017,Month_4,siouxcenter,74.69,16.76,4.37
2017,Month_5,siouxcenter,172.22,22.54,8.17
2017,Month_6,siouxcenter,67.06,29.69,14.62
2017,Month_7,siouxcenter,30.99,31.31,17.31
2017,Month_8,siouxcenter,146.31,26.22,13.82
2017,Month_9,siouxcenter,93.98,26.39,12.07
2018,Month_1,siouxcenter,11.95,-1.72,-13.03
2018,Month_10,siouxcenter,70.37,15.28,2.48
2018,Month_11,siouxcenter,36.59,4.56,-5.93
2018,Month_12,siouxcenter,44.72,0.37,-8.2
2018,Month_2,siouxcenter,17.29,-3.13,-14.4
