Year,Month,Stations,prec,tmax,tmin
2015,Month_1,siouxrapids,8.39,-2.5,-11.61
2015,Month_10,siouxrapids,48.51,17.28,4.66
2015,Month_11,siouxrapids,120.4,8.7,-1.32
2015,Month_12,siouxrapids,68.84,0.72,-6.09
2015,Month_2,siouxrapids,12.21,-4.64,-15.67
2015,Month_3,siouxrapids,10.17,10.24,-4.0
2015,Month_4,siouxrapids,84.08,16.67,3.22
2015,Month_5,siouxrapids,112.53,20.38,9.18
2015,Month_6,siouxrapids,80.27,25.78,15.09
2015,Month_7,siouxrapids,90.43,26.61,15.74
2015,Month_8,siouxrapids,199.9,24.42,13.85
2015,Month_9,siouxrapids,93.48,25.0,13.26
2016,Month_1,siouxrapids,12.46,-4.14,-12.87
2016,Month_10,siouxrapids,97.04,17.6,6.16
2016,Month_11,siouxrapids,30.23,12.02,0.57
2016,Month_12,siouxrapids,24.39,-1.31,-10.36
2016,Month_2,siouxrapids,32.52,-0.1,-7.62
2016,Month_3,siouxrapids,48.27,9.96,-1.54
2016,Month_4,siouxrapids,146.31,14.85,3.22
2016,Month_5,siouxrapids,85.85,21.52,9.19
2016,Month_6,siouxrapids,37.85,28.69,16.59
2016,Month_7,siouxrapids,92.46,27.2,16.81
2016,Month_8,siouxrapids,128.78,26.07,15.89
2016,Month_9,siouxrapids,214.89,24.08,12.85
2017,Month_1,siouxrapids,23.38,-1.92,-9.25
2017,Month_10,siouxrapids,108.72,15.57,4.77
2017,Month_11,siouxrapids,6.1,7.78,-3.83
2017,Month_12,siouxrapids,7.14,-0.66,-10.86
2017,Month_2,siouxrapids,16.01,4.96,-5.5
2017,Month_3,siouxrapids,35.06,5.93,-3.15
2017,Month_4,siouxrapids,99.07,15.04,4.37
2017,Month_5,siouxrapids,94.5,21.06,8.17
2017,Month_6,siouxrapids,61.22,27.81,14.93
2017,Month_7,siouxrapids,16.26,29.48,17.41
2017,Month_8,siouxrapids,110.75,24.46,13.73
2017,Month_9,siouxrapids,67.56,25.17,12.43
2018,Month_1,siouxrapids,13.73,-2.85,-13.42
2018,Month_10,siouxrapids,62.99,13.23,2.44
2018,Month_11,siouxrapids,26.94,2.76,-6.49
2018,Month_12,siouxrapids,44.96,-0.46,-7.93
2018,Month_2,siouxrapids,21.86,-3.47,-13.95
2018,Month_3,siouxrapids,50.81,4.34,-3.57
2018,Month_4,siouxrapids,56.65,8.19,-3.28
2018,Month_5,siouxrapids,118.12,24.75,12.47
2018,Month_6,siouxrapids,242.07,27.91,17.44
2018,Month_7,siouxrapids,79.76,27.41,16.49
2018,Month_8,siouxrapids,132.59,26.24,15.89
2018,Month_9,siouxrapids,331.98,22.97,12.41
2019,Month_1,siouxrapids,3.57,-3.66,-13.49
2019,Month_10,siouxrapids,93.48,12.19,1.77
2019,Month_11,siouxrapids,43.95,4.5,-5.33
2019,Month_12,siouxrapids,27.44,0.52,-8.39
2019,Month_2,siouxrapids,62.49,-6.88,-15.79
2019,Month_3,siouxrapids,54.11,2.41,-6.46
2019,Month_4,siouxrapids,103.38,14.69,2.67
2019,Month_5,siouxrapids,205.5,18.17,7.78
2019,Month_6,siouxrapids,92.96,26.13,15.07
2019,Month_7,siouxrapids,96.01,27.15,17.6
2019,Month_8,siouxrapids,44.2,24.96,14.77
2019,Month_9,siouxrapids,110.24,24.37,14.3
2020,Month_1,siouxrapids,19.83,-2.78,-11.34
2020,Month_10,siouxrapids,62.75,12.63,0.72
2020,Month_11,siouxrapids,49.54,10.09,-2.74
2020,Month_12,siouxrapids,18.8,2.26,-9.61
2020,Month_2,siouxrapids,6.36,-0.32,-10.58
2020,Month_3,siouxrapids,96.79,8.28,-1.59
2020,Month_4,siouxrapids,18.05,14.35,0.06
2020,Month_5,siouxrapids,100.34,19.09,8.85
2020,Month_6,siouxrapids,134.88,29.35,16.63
2020,Month_7,siouxrapids,36.84,29.98,17.58
2020,Month_8,siouxrapids,23.37,28.96,15.04
2020,Month_9,siouxrapids,39.63,23.02,10.07
2021,Month_1,siouxrapids,25.91,-0.74,-10.09
2021,Month_10,siouxrapids,161.04,17.76,5.52
2021,Month_11,siouxrapids,8.9,8.65,-3.31
2021,Month_12,siouxrapids,18.04,3.39,-7.74
2021,Month_2,siouxrapids,50.04,-7.46,-17.34
2021,Month_3,siouxrapids,52.84,10.39,-2.85
2021,Month_4,siouxrapids,29.46,14.87,1.19
2021,Month_5,siouxrapids,110.75,20.57,7.7
2021,Month_6,siouxrapids,47.75,29.9,13.95
2021,Month_7,siouxrapids,95.25,28.33,15.23
2021,Month_8,siouxrapids,105.93,28.41,15.02
2021,Month_9,siouxrapids,61.22,25.34,10.23
2022,Month_1,siouxrapids,24.9,-2.57,-17.72
2022,Month_10,siouxrapids,5.59,17.81,0.88
2022,Month_11,siouxrapids,24.39,7.78,-5.0
2022,Month_12,siouxrapids,56.15,-4.3,-12.83
2022,Month_2,siouxrapids,8.38,-0.97,-15.02
2022,Month_3,siouxrapids,33.28,7.2,-5.09
2022,Month_4,siouxrapids,48.52,11.52,-1.87
2022,Month_5,siouxrapids,90.18,21.31,7.9
2022,Month_6,siouxrapids,39.88,28.01,13.51
2022,Month_7,siouxrapids,74.93,29.48,16.31
2022,Month_8,siouxrapids,65.03,28.16,14.44
2022,Month_9,siouxrapids,29.97,25.56,9.83
2023,Month_1,siouxrapids,57.67,-2.51,-11.92
2023,Month_10,siouxrapids,188.22,17.17,4.23
2023,Month_11,siouxrapids,2.29,10.11,-3.72
2023,Month_12,siouxrapids,49.28,5.25,-5.04
2023,Month_2,siouxrapids,45.21,-0.73,-12.7
2023,Month_3,siouxrapids,25.15,3.19,-6.97
2023,Month_4,siouxrapids,48.52,15.13,0.69
2023,Month_5,siouxrapids,134.37,23.87,8.37
2023,Month_6,siouxrapids,102.11,28.56,14.19
2023,Month_7,siouxrapids,131.07,27.6,14.34
2023,Month_8,siouxrapids,107.19,28.35,15.57
2023,Month_9,siouxrapids,50.55,25.65,11.35
2024,Month_1,siouxrapids,20.07,-4.74,-12.13
2024,Month_10,siouxrapids,17.02,21.78,4.24
2024,Month_11,siouxrapids,103.13,8.3,-2.13
2024,Month_12,siouxrapids,5.08,0.35,-12.22
2024,Month_2,siouxrapids,2.54,7.74,-5.23
2024,Month_3,siouxrapids,90.94,9.5,-5.11
2024,Month_4,siouxrapids,109.98,15.83,2.33
2024,Month_5,siouxrapids,284.99,22.33,7.83
2024,Month_6,siouxrapids,209.55,27.54,14.17
2024,Month_7,siouxrapids,73.15,27.89,16.02
2024,Month_8,siouxrapids,63.76,27.59,15.28
2024,Month_9,siouxrapids,14.23,26.8,10.33
