prec,2015,18.04,17.04,16.52,77.22,103.13,47.5,81.8,197.87,45.47,40.39,139.19,67.06
tmin,2015,-11.16,-15.44,-3.98,2.72,8.3,14.93,15.56,14.44,13.23,4.48,-1.65,-6.24
tmax,2015,-2.33,-4.76,10.24,16.7,20.39,26.56,28.58,26.02,25.56,17.65,8.28,1.24
prec,2016,8.39,24.15,59.44,177.55,182.63,122.43,96.53,79.51,176.29,83.83,54.87,97.3
tmin,2016,-12.56,-7.57,-1.52,3.81,8.8,16.3,17.22,15.78,12.67,5,-0.35,-10.5
tmax,2016,-4.1,0.04,10.09,14.52,21.88,28.89,28.48,27.65,24.61,17.4,11.31,-1.56
prec,2017,38.37,29.47,58.68,89.67,97.54,82.81,56.14,224.79,82.3,141.23,11.96,5.87
tmin,2017,-9.75,-6.25,-4.23,3.49,7.85,14.63,16.72,13.59,11.96,4.48,-5.06,-11.29
tmax,2017,-2.69,4.82,5.7,14.05,20.73,28.31,29.76,25.09,25.41,15.5,7.17,-1.25
prec,2018,20.33,22.61,80.78,43.44,114.81,221.75,153.16,99.57,255.79,63.26,31.25,51.32
tmin,2018,-14.39,-15.4,-3.87,-3.2,12.29,17.38,16.83,15.96,12.03,1.81,-6.74,-8.73
tmax,2018,-2.96,-4.37,3.84,7.7,24.95,27.8,28.48,27.36,23.05,12.78,2.04,-0.39
prec,2019,6.62,45.73,63.01,121.16,184.66,87.64,90.43,40.9,142.75,120.4,60.21,30.24
tmin,2019,-14.21,-16.59,-6.67,2.35,7.41,14.83,17.74,14.77,14.2,1.86,-5.06,-9.48
tmax,2019,-4.66,-7.02,2.72,14.19,18.37,26.69,28.57,26.36,25.07,12.03,4.31,-0.43
prec,2020,34.05,6.61,63,25.41,116.08,100.84,40.64,14.99,25.15,45.99,31.75,8.39
tmin,2020,-11.47,-11.17,-1.51,0.02,8.84,16.69,17.4,15.24,9.52,0.34,-2.85,-9.68
tmax,2020,-2.94,-0.61,8.03,14.31,18.87,29.56,30.11,29.61,23.03,12.13,10.11,1.99
prec,2021,20.08,11.95,53.09,51.83,109.22,40.39,98.05,198.12,92.46,123.95,13.72,22.11
tmin,2021,-9.7,-16.83,-1.61,1.87,8.49,15.93,16.11,15.63,10.82,5.83,-3.52,-8.55
tmax,2021,-1.02,-7.54,10.11,14.94,20.63,30.61,28.72,28.17,25.52,17.72,8.74,2.63
prec,2022,22.62,7.38,30.5,73.66,96.52,74.43,88.66,78.75,18.04,2.55,32.78,65.03
tmin,2022,-16.76,-15.21,-4.46,-0.85,9.3,15.5,17.46,15.17,10.67,1.46,-5.24,-13
tmax,2022,-2.67,-1.65,6.11,11.31,21.76,28.46,29.3,27.87,25.52,17.72,6.24,-4.3
prec,2023,44.21,37.09,41.66,42.93,120.9,127.26,46.49,112.01,30.49,173.23,0.77,54.62
tmin,2023,-12.58,-12.02,-6.85,1.33,9.62,15.33,14.78,16.2,12.24,5.04,-3.19,-5.05
tmax,2023,-3.58,-0.69,3.1,14.8,24.34,28.31,27.85,28.04,25.67,15.91,9.94,4.71
prec,2024,17.53,5.34,79.26,141.23,194.82,293.62,63.76,59.94,18.54,25.4,98.55,0.76
tmin,2024,-11.57,-5.31,-4.1,2.96,9.75,15.48,17.35,15.52,11.57,5.4,-1.7,-11.53
tmax,2024,-4.15,7.3,9.57,15.96,22.67,27.19,28.43,27.29,26.86,20.94,8,2.64
