Year,Month,Stations,prec,tmax,tmin
2015,Month_1,spencer,18.04,-2.33,-11.16
2015,Month_10,spencer,40.39,17.65,4.48
2015,Month_11,spencer,139.19,8.28,-1.65
2015,Month_12,spencer,67.06,1.24,-6.24
2015,Month_2,spencer,17.04,-4.76,-15.44
2015,Month_3,spencer,16.52,10.24,-3.98
2015,Month_4,spencer,77.22,16.7,2.72
2015,Month_5,spencer,103.13,20.39,8.3
2015,Month_6,spencer,47.5,26.56,14.93
2015,Month_7,spencer,81.8,28.58,15.56
2015,Month_8,spencer,197.87,26.02,14.44
2015,Month_9,spencer,45.47,25.56,13.23
2016,Month_1,spencer,8.39,-4.1,-12.56
2016,Month_10,spencer,83.83,17.4,5.0
2016,Month_11,spencer,54.87,11.31,-0.35
2016,Month_12,spencer,97.3,-1.56,-10.5
2016,Month_2,spencer,24.15,0.04,-7.57
2016,Month_3,spencer,59.44,10.09,-1.52
2016,Month_4,spencer,177.55,14.52,3.81
2016,Month_5,spencer,182.63,21.88,8.8
2016,Month_6,spencer,122.43,28.89,16.3
2016,Month_7,spencer,96.53,28.48,17.22
2016,Month_8,spencer,79.51,27.65,15.78
2016,Month_9,spencer,176.29,24.61,12.67
2017,Month_1,spencer,38.37,-2.69,-9.75
2017,Month_10,spencer,141.23,15.5,4.48
2017,Month_11,spencer,11.96,7.17,-5.06
2017,Month_12,spencer,5.87,-1.25,-11.29
2017,Month_2,spencer,29.47,4.82,-6.25
2017,Month_3,spencer,58.68,5.7,-4.23
2017,Month_4,spencer,89.67,14.05,3.49
2017,Month_5,spencer,97.54,20.73,7.85
2017,Month_6,spencer,82.81,28.31,14.63
2017,Month_7,spencer,56.14,29.76,16.72
2017,Month_8,spencer,224.79,25.09,13.59
2017,Month_9,spencer,82.3,25.41,11.96
2018,Month_1,spencer,20.33,-2.96,-14.39
2018,Month_10,spencer,63.26,12.78,1.81
2018,Month_11,spencer,31.25,2.04,-6.74
2018,Month_12,spencer,51.32,-0.39,-8.73
2018,Month_2,spencer,22.61,-4.37,-15.4
2018,Month_3,spencer,80.78,3.84,-3.87
2018,Month_4,spencer,43.44,7.7,-3.2
2018,Month_5,spencer,114.81,24.95,12.29
2018,Month_6,spencer,221.75,27.8,17.38
2018,Month_7,spencer,153.16,28.48,16.83
2018,Month_8,spencer,99.57,27.36,15.96
2018,Month_9,spencer,255.79,23.05,12.03
2019,Month_1,spencer,6.62,-4.66,-14.21
2019,Month_10,spencer,120.4,12.03,1.86
2019,Month_11,spencer,60.21,4.31,-5.06
2019,Month_12,spencer,30.24,-0.43,-9.48
2019,Month_2,spencer,45.73,-7.02,-16.59
2019,Month_3,spencer,63.01,2.72,-6.67
2019,Month_4,spencer,121.16,14.19,2.35
2019,Month_5,spencer,184.66,18.37,7.41
2019,Month_6,spencer,87.64,26.69,14.83
2019,Month_7,spencer,90.43,28.57,17.74
2019,Month_8,spencer,40.9,26.36,14.77
2019,Month_9,spencer,142.75,25.07,14.2
2020,Month_1,spencer,34.05,-2.94,-11.47
2020,Month_10,spencer,45.99,12.13,0.34
2020,Month_11,spencer,31.75,10.11,-2.85
2020,Month_12,spencer,8.39,1.99,-9.68
2020,Month_2,spencer,6.61,-0.61,-11.17
2020,Month_3,spencer,63.0,8.03,-1.51
2020,Month_4,spencer,25.41,14.31,0.02
2020,Month_5,spencer,116.08,18.87,8.84
2020,Month_6,spencer,100.84,29.56,16.69
2020,Month_7,spencer,40.64,30.11,17.4
2020,Month_8,spencer,14.99,29.61,15.24
2020,Month_9,spencer,25.15,23.03,9.52
2021,Month_1,spencer,20.08,-1.02,-9.7
2021,Month_10,spencer,123.95,17.72,5.83
2021,Month_11,spencer,13.72,8.74,-3.52
2021,Month_12,spencer,22.11,2.63,-8.55
2021,Month_2,spencer,11.95,-7.54,-16.83
2021,Month_3,spencer,53.09,10.11,-1.61
2021,Month_4,spencer,51.83,14.94,1.87
2021,Month_5,spencer,109.22,20.63,8.49
2021,Month_6,spencer,40.39,30.61,15.93
2021,Month_7,spencer,98.05,28.72,16.11
2021,Month_8,spencer,198.12,28.17,15.63
2021,Month_9,spencer,92.46,25.52,10.82
2022,Month_1,spencer,22.62,-2.67,-16.76
2022,Month_10,spencer,2.55,17.72,1.46
2022,Month_11,spencer,32.78,6.24,-5.24
2022,Month_12,spencer,65.03,-4.3,-13.0
2022,Month_2,spencer,7.38,-1.65,-15.21
2022,Month_3,spencer,30.5,6.11,-4.46
2022,Month_4,spencer,73.66,11.31,-0.85
2022,Month_5,spencer,96.52,21.76,9.3
2022,Month_6,spencer,74.43,28.46,15.5
2022,Month_7,spencer,88.66,29.3,17.46
2022,Month_8,spencer,78.75,27.87,15.17
2022,Month_9,spencer,18.04,25.52,10.67
2023,Month_1,spencer,44.21,-3.58,-12.58
2023,Month_10,spencer,173.23,15.91,5.04
2023,Month_11,spencer,0.77,9.94,-3.19
2023,Month_12,spencer,54.62,4.71,-5.05
2023,Month_2,spencer,37.09,-0.69,-12.02
2023,Month_3,spencer,41.66,3.1,-6.85
2023,Month_4,spencer,42.93,14.8,1.33
2023,Month_5,spencer,120.9,24.34,9.62
2023,Month_6,spencer,127.26,28.31,15.33
2023,Month_7,spencer,46.49,27.85,14.78
2023,Month_8,spencer,112.01,28.04,16.2
2023,Month_9,spencer,30.49,25.67,12.24
2024,Month_1,spencer,17.53,-4.15,-11.57
2024,Month_10,spencer,25.4,20.94,5.4
2024,Month_11,spencer,98.55,8.0,-1.7
2024,Month_12,spencer,0.76,2.64,-11.53
2024,Month_2,spencer,5.34,7.3,-5.31
2024,Month_3,spencer,79.26,9.57,-4.1
2024,Month_4,spencer,141.23,15.96,2.96
2024,Month_5,spencer,194.82,22.67,9.75
2024,Month_6,spencer,293.62,27.19,15.48
2024,Month_7,spencer,63.76,28.43,17.35
2024,Month_8,spencer,59.94,27.29,15.52
2024,Month_9,spencer,18.54,26.86,11.57
