Year,Month,Stations,prec,tmax,tmin
2015,Month_1,spencerarea,4.34,-1.65,-11.18
2015,Month_10,spencerarea,34.55,18.41,4.28
2015,Month_11,spencerarea,110.76,9.09,-1.02
2015,Month_12,spencerarea,48.27,0.68,-6.9
2015,Month_2,spencerarea,0.54,-3.93,-15.26
2015,Month_3,spencerarea,14.23,10.91,-4.41
2015,Month_4,spencerarea,64.27,17.54,2.09
2015,Month_5,spencerarea,93.74,20.86,8.98
2015,Month_6,spencerarea,58.43,27.24,14.24
2015,Month_7,spencerarea,75.7,29.03,15.07
2015,Month_8,spencerarea,139.96,26.67,14.0
2015,Month_9,spencerarea,65.54,26.07,13.11
2016,Month_1,spencerarea,10.2,-4.14,-13.14
2016,Month_10,spencerarea,87.39,17.67,4.53
2016,Month_11,spencerarea,35.83,12.24,-0.96
2016,Month_12,spencerarea,27.2,-1.33,-10.7
2016,Month_2,spencerarea,6.39,0.11,-7.64
2016,Month_3,spencerarea,38.63,10.38,-1.92
2016,Month_4,spencerarea,136.15,14.93,3.13
2016,Month_5,spencerarea,106.94,21.68,8.06
2016,Month_6,spencerarea,140.47,28.91,15.39
2016,Month_7,spencerarea,86.37,28.42,16.4
2016,Month_8,spencerarea,62.75,27.99,14.66
2016,Month_9,spencerarea,171.2,24.98,12.39
2017,Month_1,spencerarea,14.24,-1.94,-9.23
2017,Month_10,spencerarea,87.64,16.11,3.84
2017,Month_11,spencerarea,5.59,7.93,-5.48
2017,Month_12,spencerarea,1.31,-1.26,-11.91
2017,Month_2,spencerarea,10.68,4.98,-6.11
2017,Month_3,spencerarea,34.56,6.2,-4.5
2017,Month_4,spencerarea,76.97,15.44,3.58
2017,Month_5,spencerarea,109.23,21.45,7.24
2017,Month_6,spencerarea,77.47,29.08,13.77
2017,Month_7,spencerarea,15.76,30.78,16.33
2017,Month_8,spencerarea,159.02,25.74,12.96
2017,Month_9,spencerarea,83.57,25.89,11.39
2018,Month_1,spencerarea,0.29,-2.65,-14.43
2018,Month_10,spencerarea,21.36,13.64,1.63
2018,Month_11,spencerarea,4.6,3.04,-6.5
2018,Month_12,spencerarea,18.82,0.13,-8.28
2018,Month_2,spencerarea,1.31,-3.99,-15.65
2018,Month_3,spencerarea,62.5,4.62,-3.23
2018,Month_4,spencerarea,17.8,8.48,-3.35
2018,Month_5,spencerarea,87.65,25.61,12.08
2018,Month_6,spencerarea,199.66,28.28,17.39
2018,Month_7,spencerarea,97.8,29.41,16.93
2018,Month_8,spencerarea,54.89,28.12,15.27
2018,Month_9,spencerarea,216.17,24.33,12.66
2019,Month_1,spencerarea,1.05,-3.84,-13.51
2019,Month_10,spencerarea,112.54,13.15,1.74
2019,Month_11,spencerarea,41.93,5.44,-4.65
2019,Month_12,spencerarea,24.66,0.32,-9.19
2019,Month_2,spencerarea,20.08,-6.25,-15.91
2019,Month_3,spencerarea,36.09,3.37,-6.57
2019,Month_4,spencerarea,120.66,15.22,2.48
2019,Month_5,spencerarea,163.08,19.28,8.03
2019,Month_6,spencerarea,84.6,27.48,14.65
2019,Month_7,spencerarea,97.3,29.39,18.1
2019,Month_8,spencerarea,37.61,27.46,14.89
2019,Month_9,spencerarea,117.87,26.07,14.57
2020,Month_1,spencerarea,24.39,-2.03,-10.79
2020,Month_10,spencerarea,42.18,13.42,-0.14
2020,Month_11,spencerarea,23.88,11.04,-3.04
2020,Month_12,spencerarea,10.42,3.05,-10.09
2020,Month_2,spencerarea,5.59,0.02,-10.77
2020,Month_3,spencerarea,66.3,8.85,-1.67
2020,Month_4,spencerarea,17.29,15.54,-0.72
2020,Month_5,spencerarea,125.74,19.94,8.48
2020,Month_6,spencerarea,74.18,30.44,16.93
2020,Month_7,spencerarea,34.29,31.13,16.63
2020,Month_8,spencerarea,12.45,30.89,14.96
2020,Month_9,spencerarea,25.92,24.56,9.5
2021,Month_1,spencerarea,16.53,-0.32,-9.52
2021,Month_10,spencerarea,89.92,18.76,5.61
2021,Month_11,spencerarea,14.23,10.08,-2.84
2021,Month_12,spencerarea,11.7,3.58,-8.53
2021,Month_2,spencerarea,12.21,-6.94,-16.96
2021,Month_3,spencerarea,40.65,10.8,-1.36
2021,Month_4,spencerarea,56.41,16.07,1.67
2021,Month_5,spencerarea,78.75,21.52,8.44
2021,Month_6,spencerarea,40.4,31.52,15.41
2021,Month_7,spencerarea,82.3,29.91,16.06
2021,Month_8,spencerarea,153.93,29.09,15.72
2021,Month_9,spencerarea,106.18,26.49,10.31
2022,Month_1,spencerarea,8.91,-1.97,-17.17
2022,Month_10,spencerarea,2.81,19.55,0.97
2022,Month_11,spencerarea,31.25,7.7,-4.94
2022,Month_12,spencerarea,62.0,-3.17,-12.1
2022,Month_2,spencerarea,9.16,-0.22,-14.4
2022,Month_3,spencerarea,40.15,7.47,-3.85
2022,Month_4,spencerarea,56.14,12.91,-0.21
2022,Month_5,spencerarea,88.91,22.83,9.19
2022,Month_6,spencerarea,81.29,29.39,15.06
2022,Month_7,spencerarea,70.11,30.59,16.94
2022,Month_8,spencerarea,89.42,29.16,15.31
2022,Month_9,spencerarea,15.0,27.15,10.13
2023,Month_1,spencerarea,32.54,-2.96,-12.51
