prec  2015  16.27  18.81  25.41  89.41 130.05 143.52  74.42 116.33  51.57  55.63  92.97 132.60,,,,,,,,,,,,,
tmin,2015,-13.28,-18.75,-7.13,1.39,9.77,14.15,15.06,13.19,12.87,3.5,-1.17,-2.76
tmax,2015,-3.05,-7.04,6.56,16.19,20.34,25.41,26.95,25.5,26.44,17.24,9.61,4.39
prec,2016,16.53,19.82,74.18,53.86,131.58,123.7,149.36,97.54,233.43,52.58,26.17,54.36
tmin,2016,-12.91,-8.39,-2.29,2.31,7.87,14.94,16.52,15.29,12.15,5.19,-0.04,-9.62
tmax,2016,-4.76,-0.25,9.21,14.63,21.35,27.68,27.04,27.13,24.07,17.87,12.7,-2.31
prec,2017,60.21,24.14,52.08,81.28,95,127.51,168.16,34.55,40.39,126.25,20.83,5.86
tmin,2017,-9.57,-5.75,-4.71,3.17,7.19,13.33,15.44,12.42,9.87,5.11,-4.91,-12
tmax,2017,-2.28,4.88,6.34,15.2,19.3,27.44,27.67,24.59,25.8,16.83,6.2,-0.59
prec,2018,23.38,42.17,54.36,38.1,134.12,200.16,105.67,223.52,258.57,185.67,57.67,47.51
tmin,2018,-14.91,-13.68,-5.61,-4.54,11.61,15.93,15.4,14.75,11.15,1.95,-6.91,-7.33
tmax,2018,-4.43,-2.65,4.35,8.35,24.64,26.85,27.3,26.47,23.67,13.49,1.74,0.93
prec,2019,36.6,69.61,37.85,75.18,152.66,115.83,63.25,85.1,195.08,160.28,47.51,23.64
tmin,2019,-15.09,-16.45,-8.09,0.09,6.74,13.81,17,12.69,12.94,1.28,-6.44,-7.44
tmax,2019,-5.27,-4.94,2.41,14.04,18.01,25.23,29,25.5,24.26,13.22,3.2,3.12
prec,2020,33.54,9.41,73.67,25.41,162.58,285.25,86.36,14.23,193.3,110.76,49.02,22.11
tmin,2020,-10.04,-12.62,-1.94,-1.04,7.24,15.61,17.26,13.09,8.7,0.5,-2.97,-9.62
tmax,2020,-1.34,-1.15,7.58,14,19.19,27.07,28.95,28.24,21.63,13.32,10.79,0.93
prec,2021,23.63,12.96,52.84,20.84,72.4,91.45,79.25,170.18,84.33,97.29,37.85,30.24
tmin,2021,-10.93,-17.94,-1.7,2.26,8.67,15.71,15.9,14.72,9.52,7.01,-3.39,-6.91
tmax,2021,-2.22,-7.68,9.11,15.33,20.27,29.44,27.71,28.06,25.15,18.33,8.16,3.94
prec,2022,9.42,2.56,121.42,105.67,77.47,154.69,172.47,174.5,23.12,45.21,56.91,40.91
tmin,2022,-18.28,-14.71,-3.91,-0.76,8.87,13.98,16,14.78,10.43,0.66,-4.17,-11.35
tmax,2022,-6.49,-2.43,6.61,10.26,21.83,27,27.91,26.44,23.61,16.67,8.28,-2.93
prec,2023,56.14,59.19,25.16,55.13,49.79,78.49,166.38,27.94,52.59,102.11,8.64,36.59
tmin,2023,-8.83,-11.21,-4.96,1.44,9.11,13.54,14.32,14.21,10.9,4.05,-5.4,-3.33
tmax,2023,-1.48,1.15,5.48,16.11,23.24,27.87,27.29,28.17,26,17.29,8.74,4.73
prec,2024,38.36,2.04,46.24,97.8,266.71,128.78,172.73,57.92,1.53,38.86,116.85,0.01
tmin,2024,-10.11,-6.19,-3.41,2.04,8.8,15.19,15.63,14.64,9.8,4.65,-0.56,-11.53
tmax,2024,-3.78,8.69,10.14,15.22,22.28,27.15,26.83,27.15,26.26,21.22,8.52,0.28
