Year,Month,Stations,prec,tmax,tmin
2015.0,Month_1,stanley,,-3.05,-13.28
2015.0,Month_10,stanley,,17.24,3.5
2015.0,Month_11,stanley,,9.61,-1.17
2015.0,Month_12,stanley,,4.39,-2.76
2015.0,Month_2,stanley,,-7.04,-18.75
2015.0,Month_3,stanley,,6.56,-7.13
2015.0,Month_4,stanley,,16.19,1.39
2015.0,Month_5,stanley,,20.34,9.77
2015.0,Month_6,stanley,,25.41,14.15
2015.0,Month_7,stanley,,26.95,15.06
2015.0,Month_8,stanley,,25.5,13.19
2015.0,Month_9,stanley,,26.44,12.87
2016.0,Month_1,stanley,16.53,-4.76,-12.91
2016.0,Month_10,stanley,52.58,17.87,5.19
2016.0,Month_11,stanley,26.17,12.7,-0.04
2016.0,Month_12,stanley,54.36,-2.31,-9.62
2016.0,Month_2,stanley,19.82,-0.25,-8.39
2016.0,Month_3,stanley,74.18,9.21,-2.29
2016.0,Month_4,stanley,53.86,14.63,2.31
2016.0,Month_5,stanley,131.58,21.35,7.87
2016.0,Month_6,stanley,123.7,27.68,14.94
2016.0,Month_7,stanley,149.36,27.04,16.52
2016.0,Month_8,stanley,97.54,27.13,15.29
2016.0,Month_9,stanley,233.43,24.07,12.15
2017.0,Month_1,stanley,60.21,-2.28,-9.57
2017.0,Month_10,stanley,126.25,16.83,5.11
2017.0,Month_11,stanley,20.83,6.2,-4.91
2017.0,Month_12,stanley,5.86,-0.59,-12.0
2017.0,Month_2,stanley,24.14,4.88,-5.75
2017.0,Month_3,stanley,52.08,6.34,-4.71
2017.0,Month_4,stanley,81.28,15.2,3.17
2017.0,Month_5,stanley,95.0,19.3,7.19
2017.0,Month_6,stanley,127.51,27.44,13.33
2017.0,Month_7,stanley,168.16,27.67,15.44
2017.0,Month_8,stanley,34.55,24.59,12.42
2017.0,Month_9,stanley,40.39,25.8,9.87
2018.0,Month_1,stanley,23.38,-4.43,-14.91
2018.0,Month_10,stanley,185.67,13.49,1.95
2018.0,Month_11,stanley,57.67,1.74,-6.91
2018.0,Month_12,stanley,47.51,0.93,-7.33
2018.0,Month_2,stanley,42.17,-2.65,-13.68
2018.0,Month_3,stanley,54.36,4.35,-5.61
2018.0,Month_4,stanley,38.1,8.35,-4.54
2018.0,Month_5,stanley,134.12,24.64,11.61
2018.0,Month_6,stanley,200.16,26.85,15.93
2018.0,Month_7,stanley,105.67,27.3,15.4
2018.0,Month_8,stanley,223.52,26.47,14.75
2018.0,Month_9,stanley,258.57,23.67,11.15
2019.0,Month_1,stanley,36.6,-5.27,-15.09
2019.0,Month_10,stanley,160.28,13.22,1.28
2019.0,Month_11,stanley,47.51,3.2,-6.44
2019.0,Month_12,stanley,23.64,3.12,-7.44
2019.0,Month_2,stanley,69.61,-4.94,-16.45
2019.0,Month_3,stanley,37.85,2.41,-8.09
2019.0,Month_4,stanley,75.18,14.04,0.09
2019.0,Month_5,stanley,152.66,18.01,6.74
2019.0,Month_6,stanley,115.83,25.23,13.81
2019.0,Month_7,stanley,63.25,29.0,17.0
2019.0,Month_8,stanley,85.1,25.5,12.69
2019.0,Month_9,stanley,195.08,24.26,12.94
2020.0,Month_1,stanley,33.54,-1.34,-10.04
2020.0,Month_10,stanley,110.76,13.32,0.5
2020.0,Month_11,stanley,49.02,10.79,-2.97
2020.0,Month_12,stanley,22.11,0.93,-9.62
2020.0,Month_2,stanley,9.41,-1.15,-12.62
2020.0,Month_3,stanley,73.67,7.58,-1.94
2020.0,Month_4,stanley,25.41,14.0,-1.04
2020.0,Month_5,stanley,162.58,19.19,7.24
2020.0,Month_6,stanley,285.25,27.07,15.61
2020.0,Month_7,stanley,86.36,28.95,17.26
2020.0,Month_8,stanley,14.23,28.24,13.09
2020.0,Month_9,stanley,193.3,21.63,8.7
2021.0,Month_1,stanley,23.63,-2.22,-10.93
2021.0,Month_10,stanley,97.29,18.33,7.01
2021.0,Month_11,stanley,37.85,8.16,-3.39
2021.0,Month_12,stanley,30.24,3.94,-6.91
2021.0,Month_2,stanley,12.96,-7.68,-17.94
2021.0,Month_3,stanley,52.84,9.11,-1.7
2021.0,Month_4,stanley,20.84,15.33,2.26
2021.0,Month_5,stanley,72.4,20.27,8.67
2021.0,Month_6,stanley,91.45,29.44,15.71
2021.0,Month_7,stanley,79.25,27.71,15.9
2021.0,Month_8,stanley,170.18,28.06,14.72
2021.0,Month_9,stanley,84.33,25.15,9.52
2022.0,Month_1,stanley,9.42,-6.49,-18.28
2022.0,Month_10,stanley,45.21,16.67,0.66
2022.0,Month_11,stanley,56.91,8.28,-4.17
2022.0,Month_12,stanley,40.91,-2.93,-11.35
2022.0,Month_2,stanley,2.56,-2.43,-14.71
2022.0,Month_3,stanley,121.42,6.61,-3.91
2022.0,Month_4,stanley,105.67,10.26,-0.76
2022.0,Month_5,stanley,77.47,21.83,8.87
2022.0,Month_6,stanley,154.69,27.0,13.98
2022.0,Month_7,stanley,172.47,27.91,16.0
2022.0,Month_8,stanley,174.5,26.44,14.78
2022.0,Month_9,stanley,23.12,23.61,10.43
2023.0,Month_1,stanley,56.14,-1.48,-8.83
2023.0,Month_10,stanley,102.11,17.29,4.05
2023.0,Month_11,stanley,8.64,8.74,-5.4
2023.0,Month_12,stanley,36.59,4.73,-3.33
2023.0,Month_2,stanley,59.19,1.15,-11.21
2023.0,Month_3,stanley,25.16,5.48,-4.96
2023.0,Month_4,stanley,55.13,16.11,1.44
2023.0,Month_5,stanley,49.79,23.24,9.11
2023.0,Month_6,stanley,78.49,27.87,13.54
2023.0,Month_7,stanley,166.38,27.29,14.32
2023.0,Month_8,stanley,27.94,28.17,14.21
2023.0,Month_9,stanley,52.59,26.0,10.9
2024.0,Month_1,stanley,38.36,-3.78,-10.11
2024.0,Month_10,stanley,38.86,21.22,4.65
2024.0,Month_11,stanley,116.85,8.52,-0.56
2024.0,Month_12,stanley,0.01,0.28,-11.53
2024.0,Month_2,stanley,2.04,8.69,-6.19
2024.0,Month_3,stanley,46.24,10.14,-3.41
2024.0,Month_4,stanley,97.8,15.22,2.04
2024.0,Month_5,stanley,266.71,22.28,8.8
2024.0,Month_6,stanley,128.78,27.15,15.19
2024.0,Month_7,stanley,172.73,26.83,15.63
2024.0,Month_8,stanley,57.92,27.15,14.64
2024.0,Month_9,stanley,1.53,26.26,9.8
