prec,2015,17.29,27.45,13.98,36.84,87.9,209.3,181.87,129.8,73.92,59.44,68.58,116.86
tmin,2015,-11.45,-17,-5.61,2.78,9.86,14.37,16.09,14.11,13.48,4.78,0.41,-2.42
tmax,2015,-1.68,-5.81,8.15,17.26,20.88,25.54,27.31,25.48,26.96,17.8,10.09,4.59
prec,2016,13.98,8.92,42.18,32.28,95,78.49,86.61,147.83,179.58,28.7,37.09,33.79
tmin,2016,-11.49,-7.09,-1.86,3.54,8.21,15.41,16.77,16.17,13.28,6.16,0.57,-9.48
tmax,2016,-3.57,1.32,10.52,16.17,21.09,29,27.6,27.57,25.37,19.12,13.2,-1.2
prec,2017,41.68,17.02,41.16,72.15,91.71,58.93,87.39,69.35,22.35,198.64,12.45,6.88
tmin,2017,-8.23,-5.8,-3.57,3.72,7.98,14.43,16.53,12.85,11.37,6.11,-4.07,-10.13
tmax,2017,-1.04,6.73,7.46,15.86,20.09,28.43,29.29,25.52,26.39,17.33,7.38,0.7
prec,2018,33.28,29.98,66.81,19.57,105.92,123.71,107.45,195.33,330.21,137.93,49.54,41.93
tmin,2018,-14.05,-12.02,-4.39,-3.11,12.91,16.78,16.15,15.67,12.74,3.01,-5.4,-6.89
tmax,2018,-3.82,-1.69,5.65,9.76,25.96,28.5,28.37,27.31,24.37,14.8,2.98,2.39
prec,2019,27.19,59.95,29.73,53.36,217.44,123.72,65.03,80.02,108.97,141.48,33.03,24.64
tmin,2019,-12.97,-15.73,-6.45,1.89,7.44,14.46,17.83,14.34,14.03,2.51,-5.35,-6.59
tmax,2019,-3.71,-4.5,3.66,15.63,19.05,25.92,29.37,26.56,25.35,14.1,4.28,3.89
prec,2020,25.92,12.45,62.25,52.85,90.95,225.82,29.47,30.74,166.38,62.24,46.99,27.94
tmin,2020,-9.66,-10.57,-1.47,0.7,7.81,16.21,17.18,14.15,9.5,2.02,-1.49,-8.6
tmax,2020,-1.08,0.02,9.48,14.24,19.37,27.72,29.64,29.56,22.98,13.94,11.45,1.9
prec,2021,35.06,22.36,65.54,10.93,89.17,102.63,40.13,156.46,17.54,136.65,54.36,27.19
tmin,2021,-10.56,-16.37,-0.44,2.5,9.07,15.92,16.75,16.07,11.3,7.33,-2.59,-5.93
tmax,2021,-1.83,-7.64,10.44,15.98,20.61,29.77,28.33,29.16,26.44,19,9.23,5.45
prec,2022,21.86,6.11,76.71,81.03,62.25,97.8,106.18,45.98,53.09,32.26,69.87,40.4
tmin,2022,-17.46,-14.47,-3.59,-0.37,9.73,14.7,16.85,15.35,11,1.7,-3.56,-10.84
tmax,2022,-4.85,-0.97,7.81,11.67,22.2,28.17,28.82,28.41,25.17,17.9,8.75,-1.77
prec,2023,43.7,37.6,28.21,52.84,59.7,64.02,94.49,20.58,42.43,120.4,9.41,33.79
tmin,2023,-8.49,-9.96,-4.8,1.96,9.19,14.42,15.28,15.32,11.67,5.41,-3.43,-3.24
tmax,2023,-0.91,2.64,6.29,16.83,23.85,28.25,28.44,29.01,26.81,18.05,10.02,5.71
prec,2024,59.45,6.36,41.41,63,274.08,90.68,199.4,60.97,2.29,56.64,68.59,0.76
tmin,2024,-10.2,-5.48,-2.99,2.87,9.06,15.41,16.13,15.75,11.05,5.04,-0.25,-11.11
tmax,2024,-3.37,9.44,11,16.56,23.39,28.17,27.07,27.53,26.41,22.2,9.31,0.69
