Year,Month,Stations,prec,tmax,tmin
2015,Month_1,toledo,17.29,-1.68,-11.45
2015,Month_10,toledo,59.44,17.8,4.78
2015,Month_11,toledo,68.58,10.09,0.41
2015,Month_12,toledo,116.86,4.59,-2.42
2015,Month_2,toledo,27.45,-5.81,-17.0
2015,Month_3,toledo,13.98,8.15,-5.61
2015,Month_4,toledo,36.84,17.26,2.78
2015,Month_5,toledo,87.9,20.88,9.86
2015,Month_6,toledo,209.3,25.54,14.37
2015,Month_7,toledo,181.87,27.31,16.09
2015,Month_8,toledo,129.8,25.48,14.11
2015,Month_9,toledo,73.92,26.96,13.48
2016,Month_1,toledo,13.98,-3.57,-11.49
2016,Month_10,toledo,28.7,19.12,6.16
2016,Month_11,toledo,37.09,13.2,0.57
2016,Month_12,toledo,33.79,-1.2,-9.48
2016,Month_2,toledo,8.92,1.32,-7.09
2016,Month_3,toledo,42.18,10.52,-1.86
2016,Month_4,toledo,32.28,16.17,3.54
2016,Month_5,toledo,95.0,21.09,8.21
2016,Month_6,toledo,78.49,29.0,15.41
2016,Month_7,toledo,86.61,27.6,16.77
2016,Month_8,toledo,147.83,27.57,16.17
2016,Month_9,toledo,179.58,25.37,13.28
2017,Month_1,toledo,41.68,-1.04,-8.23
2017,Month_10,toledo,198.64,17.33,6.11
2017,Month_11,toledo,12.45,7.38,-4.07
2017,Month_12,toledo,6.88,0.7,-10.13
2017,Month_2,toledo,17.02,6.73,-5.8
2017,Month_3,toledo,41.16,7.46,-3.57
2017,Month_4,toledo,72.15,15.86,3.72
2017,Month_5,toledo,91.71,20.09,7.98
2017,Month_6,toledo,58.93,28.43,14.43
2017,Month_7,toledo,87.39,29.29,16.53
2017,Month_8,toledo,69.35,25.52,12.85
2017,Month_9,toledo,22.35,26.39,11.37
2018,Month_1,toledo,33.28,-3.82,-14.05
2018,Month_10,toledo,137.93,14.8,3.01
2018,Month_11,toledo,49.54,2.98,-5.4
2018,Month_12,toledo,41.93,2.39,-6.89
2018,Month_2,toledo,29.98,-1.69,-12.02
2018,Month_3,toledo,66.81,5.65,-4.39
2018,Month_4,toledo,19.57,9.76,-3.11
2018,Month_5,toledo,105.92,25.96,12.91
2018,Month_6,toledo,123.71,28.5,16.78
2018,Month_7,toledo,107.45,28.37,16.15
2018,Month_8,toledo,195.33,27.31,15.67
2018,Month_9,toledo,330.21,24.37,12.74
2019,Month_1,toledo,27.19,-3.71,-12.97
2019,Month_10,toledo,141.48,14.1,2.51
2019,Month_11,toledo,33.03,4.28,-5.35
2019,Month_12,toledo,24.64,3.89,-6.59
2019,Month_2,toledo,59.95,-4.5,-15.73
2019,Month_3,toledo,29.73,3.66,-6.45
2019,Month_4,toledo,53.36,15.63,1.89
2019,Month_5,toledo,217.44,19.05,7.44
2019,Month_6,toledo,123.72,25.92,14.46
2019,Month_7,toledo,65.03,29.37,17.83
2019,Month_8,toledo,80.02,26.56,14.34
2019,Month_9,toledo,108.97,25.35,14.03
2020,Month_1,toledo,25.92,-1.08,-9.66
2020,Month_10,toledo,62.24,13.94,2.02
2020,Month_11,toledo,46.99,11.45,-1.49
2020,Month_12,toledo,27.94,1.9,-8.6
2020,Month_2,toledo,12.45,0.02,-10.57
2020,Month_3,toledo,62.25,9.48,-1.47
2020,Month_4,toledo,52.85,14.24,0.7
2020,Month_5,toledo,90.95,19.37,7.81
2020,Month_6,toledo,225.82,27.72,16.21
2020,Month_7,toledo,29.47,29.64,17.18
2020,Month_8,toledo,30.74,29.56,14.15
2020,Month_9,toledo,166.38,22.98,9.5
2021,Month_1,toledo,35.06,-1.83,-10.56
2021,Month_10,toledo,136.65,19.0,7.33
2021,Month_11,toledo,54.36,9.23,-2.59
2021,Month_12,toledo,27.19,5.45,-5.93
2021,Month_2,toledo,22.36,-7.64,-16.37
2021,Month_3,toledo,65.54,10.44,-0.44
2021,Month_4,toledo,10.93,15.98,2.5
2021,Month_5,toledo,89.17,20.61,9.07
2021,Month_6,toledo,102.63,29.77,15.92
2021,Month_7,toledo,40.13,28.33,16.75
2021,Month_8,toledo,156.46,29.16,16.07
2021,Month_9,toledo,17.54,26.44,11.3
2022,Month_1,toledo,21.86,-4.85,-17.46
2022,Month_10,toledo,32.26,17.9,1.7
2022,Month_11,toledo,69.87,8.75,-3.56
2022,Month_12,toledo,40.4,-1.77,-10.84
2022,Month_2,toledo,6.11,-0.97,-14.47
2022,Month_3,toledo,76.71,7.81,-3.59
2022,Month_4,toledo,81.03,11.67,-0.37
2022,Month_5,toledo,62.25,22.2,9.73
2022,Month_6,toledo,97.8,28.17,14.7
2022,Month_7,toledo,106.18,28.82,16.85
2022,Month_8,toledo,45.98,28.41,15.35
2022,Month_9,toledo,53.09,25.17,11.0
2023,Month_1,toledo,43.7,-0.91,-8.49
2023,Month_10,toledo,120.4,18.05,5.41
2023,Month_11,toledo,9.41,10.02,-3.43
2023,Month_12,toledo,33.79,5.71,-3.24
2023,Month_2,toledo,37.6,2.64,-9.96
2023,Month_3,toledo,28.21,6.29,-4.8
2023,Month_4,toledo,52.84,16.83,1.96
2023,Month_5,toledo,59.7,23.85,9.19
2023,Month_6,toledo,64.02,28.25,14.42
2023,Month_7,toledo,94.49,28.44,15.28
2023,Month_8,toledo,20.58,29.01,15.32
2023,Month_9,toledo,42.43,26.81,11.67
2024,Month_1,toledo,59.45,-3.37,-10.2
2024,Month_10,toledo,56.64,22.2,5.04
2024,Month_11,toledo,68.59,9.31,-0.25
2024,Month_12,toledo,0.76,0.69,-11.11
2024,Month_2,toledo,6.36,9.44,-5.48
2024,Month_3,toledo,41.41,11.0,-2.99
2024,Month_4,toledo,63.0,16.56,2.87
2024,Month_5,toledo,274.08,23.39,9.06
2024,Month_6,toledo,90.68,28.17,15.41
2024,Month_7,toledo,199.4,27.07,16.13
2024,Month_8,toledo,60.97,27.53,15.75
2024,Month_9,toledo,2.29,26.41,11.05
