Year,Month,Stations,prec,tmax,tmin
2015,Month_1,waukon,11.43,-2.33,-11.11
2015,Month_10,waukon,49.54,16.91,5.15
2015,Month_11,waukon,81.28,10.17,0.19
2015,Month_12,waukon,165.11,3.71,-2.01
2015,Month_2,waukon,18.29,-6.37,-17.34
2015,Month_3,waukon,33.02,7.53,-4.55
2015,Month_4,waukon,85.35,16.09,3.05
2015,Month_5,waukon,131.83,20.97,10.27
2015,Month_6,waukon,153.67,25.44,14.57
2015,Month_7,waukon,50.3,27.02,15.91
2015,Month_8,waukon,62.24,25.87,14.98
2015,Month_9,waukon,50.8,25.61,13.98
2016,Month_1,waukon,18.8,-3.19,-11.31
2016,Month_10,waukon,70.36,17.97,6.74
2016,Month_11,waukon,39.63,12.15,1.41
2016,Month_12,waukon,58.93,-2.74,-9.22
2016,Month_2,waukon,22.1,0.75,-7.36
2016,Month_3,waukon,93.22,9.61,0.02
2016,Month_4,waukon,43.44,14.61,3.65
2016,Month_5,waukon,124.21,21.77,8.84
2016,Month_6,waukon,132.09,26.91,15.19
2016,Month_7,waukon,193.29,27.46,17.26
2016,Month_8,waukon,286.77,27.13,16.91
2016,Month_9,waukon,291.6,23.85,13.43
2017,Month_1,waukon,60.2,-2.11,-8.55
2017,Month_10,waukon,175.01,16.25,6.59
2017,Month_11,waukon,9.15,6.86,-3.16
2017,Month_12,waukon,8.89,-1.61,-10.05
2017,Month_2,waukon,40.9,4.84,-5.08
2017,Month_3,waukon,59.95,5.84,-2.83
2017,Month_4,waukon,184.15,15.57,4.83
2017,Month_5,waukon,90.68,19.52,8.15
2017,Month_6,waukon,104.9,27.26,14.67
2017,Month_7,waukon,73.15,27.84,16.92
2017,Month_8,waukon,37.34,24.7,13.59
2017,Month_9,waukon,37.09,25.48,11.96
2018,Month_1,waukon,33.53,-2.18,-11.8
2018,Month_10,waukon,132.59,13.92,4.14
2018,Month_11,waukon,64.26,2.3,-4.04
2018,Month_12,waukon,59.95,1.24,-5.22
2018,Month_2,waukon,35.31,-1.11,-11.71
2018,Month_3,waukon,23.12,6.16,-3.96
2018,Month_4,waukon,95.0,9.48,-1.93
2018,Month_5,waukon,275.08,25.22,13.15
2018,Month_6,waukon,179.84,27.54,17.33
2018,Month_7,waukon,92.21,28.21,17.72
2018,Month_8,waukon,130.3,27.56,17.43
2018,Month_9,waukon,234.44,23.35,13.16
2019,Month_1,waukon,35.81,-5.11,-12.78
2019,Month_10,waukon,134.87,12.74,3.24
2019,Month_11,waukon,43.18,2.39,-5.24
2019,Month_12,waukon,42.93,1.9,-7.65
2019,Month_2,waukon,65.02,-3.89,-12.55
2019,Month_3,waukon,25.4,3.66,-5.97
2019,Month_4,waukon,90.17,14.11,3.11
2019,Month_5,waukon,175.26,18.66,8.03
2019,Month_6,waukon,163.07,25.34,14.29
2019,Month_7,waukon,130.81,28.85,18.41
2019,Month_8,waukon,48.51,25.59,14.7
2019,Month_9,waukon,220.47,24.0,14.33
2020,Month_1,waukon,22.37,-1.63,-9.64
2020,Month_10,waukon,119.4,12.1,1.51
2020,Month_11,waukon,46.49,10.87,-0.85
2020,Month_12,waukon,17.28,1.2,-8.35
2020,Month_2,waukon,25.16,-0.73,-12.12
2020,Month_3,waukon,106.95,7.76,-1.15
2020,Month_4,waukon,59.7,12.64,0.9
2020,Month_5,waukon,94.74,19.09,7.87
2020,Month_6,waukon,251.21,26.67,14.85
2020,Month_7,waukon,102.62,29.19,18.0
2020,Month_8,waukon,20.33,27.85,15.15
2020,Month_9,waukon,138.69,20.91,9.85
