Year,Month,Stations,prec,tmax,tmin
2015,Month_1,webstercity,21.35,-1.65,-12.33
2015,Month_10,webstercity,47.25,17.93,3.46
2015,Month_11,webstercity,73.92,10.22,-0.98
2015,Month_12,webstercity,148.35,3.57,-4.52
2015,Month_2,webstercity,25.41,-4.94,-16.73
2015,Month_3,webstercity,7.63,9.1,-5.57
2015,Month_4,webstercity,96.01,16.63,1.53
2015,Month_5,webstercity,142.5,20.48,8.91
2015,Month_6,webstercity,111.0,25.59,14.07
2015,Month_7,webstercity,97.8,27.38,15.61
2015,Month_8,webstercity,247.9,25.37,13.81
2015,Month_9,webstercity,61.73,26.11,12.65
2016,Month_1,webstercity,20.84,-4.28,-12.44
2016,Month_10,webstercity,29.97,19.18,5.29
2016,Month_11,webstercity,38.36,13.28,-0.74
2016,Month_12,webstercity,36.84,-0.82,-10.41
2016,Month_2,webstercity,39.38,0.32,-8.71
2016,Month_3,webstercity,51.06,10.75,-1.85
2016,Month_4,webstercity,47.0,15.72,2.44
2016,Month_5,webstercity,135.89,21.11,7.56
2016,Month_6,webstercity,121.67,28.37,14.89
2016,Month_7,webstercity,140.97,27.48,16.33
2016,Month_8,webstercity,148.85,27.17,15.57
2016,Month_9,webstercity,191.01,25.18,12.66
2017,Month_1,webstercity,47.76,-1.52,-9.39
2017,Month_10,webstercity,148.34,17.65,4.44
2017,Month_11,webstercity,6.87,7.45,-4.9
2017,Month_12,webstercity,10.42,1.11,-11.11
2017,Month_2,webstercity,60.96,5.85,-6.11
2017,Month_3,webstercity,79.0,6.38,-3.82
2017,Month_4,webstercity,80.27,15.31,3.3
2017,Month_5,webstercity,119.64,20.39,7.22
2017,Month_6,webstercity,93.48,28.13,13.17
2017,Month_7,webstercity,17.78,29.54,16.46
2017,Month_8,webstercity,115.06,25.43,12.5
2017,Month_9,webstercity,68.58,26.3,11.15
2018,Month_1,webstercity,35.82,-3.76,-15.23
2018,Month_10,webstercity,132.09,14.05,1.65
2018,Month_11,webstercity,36.33,2.76,-6.52
2018,Month_12,webstercity,50.81,1.45,-7.19
2018,Month_2,webstercity,52.59,-3.02,-15.12
2018,Month_3,webstercity,52.84,4.93,-4.01
2018,Month_4,webstercity,82.81,9.26,-3.59
2018,Month_5,webstercity,152.15,24.89,11.92
2018,Month_6,webstercity,234.45,27.93,16.36
2018,Month_7,webstercity,66.04,28.73,16.01
2018,Month_8,webstercity,235.72,26.84,15.0
2018,Month_9,webstercity,197.36,24.02,11.92
2019,Month_1,webstercity,21.86,-3.12,-13.41
2019,Month_10,webstercity,189.49,13.78,1.41
2019,Month_11,webstercity,45.47,4.46,-6.3
2019,Month_12,webstercity,44.71,2.85,-8.41
2019,Month_2,webstercity,126.26,-5.3,-17.2
2019,Month_3,webstercity,34.3,3.17,-6.83
2019,Month_4,webstercity,95.26,15.67,1.31
2019,Month_5,webstercity,210.58,18.69,6.86
2019,Month_6,webstercity,113.8,25.69,13.3
2019,Month_7,webstercity,96.79,28.75,17.16
2019,Month_8,webstercity,88.39,25.89,13.81
2019,Month_9,webstercity,152.92,24.5,13.1
2020,Month_1,webstercity,19.32,-2.57,-11.76
2020,Month_10,webstercity,32.27,13.35,0.38
2020,Month_11,webstercity,54.36,11.67,-3.12
2020,Month_12,webstercity,14.22,2.24,-9.61
2020,Month_2,webstercity,15.25,0.14,-11.6
2020,Month_3,webstercity,71.9,9.0,-2.11
2020,Month_4,webstercity,16.77,15.06,-0.59
2020,Month_5,webstercity,140.99,19.6,7.24
2020,Month_6,webstercity,111.77,27.85,15.74
2020,Month_7,webstercity,39.38,29.41,16.22
2020,Month_8,webstercity,31.5,28.67,13.65
2020,Month_9,webstercity,84.84,22.82,8.51
2021,Month_1,webstercity,26.42,-1.22,-10.25
2021,Month_10,webstercity,137.93,18.15,5.91
2021,Month_11,webstercity,33.28,9.13,-3.13
2021,Month_12,webstercity,19.56,4.34,-7.06
2021,Month_2,webstercity,21.85,-7.62,-18.13
2021,Month_3,webstercity,70.11,11.06,-1.26
2021,Month_4,webstercity,13.98,16.21,2.13
2021,Month_5,webstercity,108.47,20.59,8.15
2021,Month_6,webstercity,44.46,29.72,15.02
2021,Month_7,webstercity,34.55,28.53,15.41
2021,Month_8,webstercity,139.45,28.8,14.73
2021,Month_9,webstercity,48.26,26.04,9.96
2022,Month_1,webstercity,26.44,-3.85,-18.69
2022,Month_10,webstercity,19.05,18.01,0.68
2022,Month_11,webstercity,29.48,7.89,-4.54
2022,Month_12,webstercity,42.68,-3.06,-11.67
2022,Month_2,webstercity,7.12,-1.23,-14.96
2022,Month_3,webstercity,63.76,7.67,-4.62
2022,Month_4,webstercity,97.55,11.28,-1.41
2022,Month_5,webstercity,104.66,21.31,8.73
2022,Month_6,webstercity,90.43,27.3,14.25
2022,Month_7,webstercity,85.1,28.92,16.29
2022,Month_8,webstercity,85.35,27.93,14.83
2022,Month_9,webstercity,32.01,24.67,10.1
2023,Month_1,webstercity,64.27,-1.9,-10.95
2023,Month_10,webstercity,87.89,17.76,4.59
2023,Month_11,webstercity,2.8,10.43,-4.24
2023,Month_12,webstercity,42.42,5.36,-4.7
2023,Month_2,webstercity,50.55,0.78,-12.04
2023,Month_3,webstercity,44.97,4.77,-5.72
2023,Month_4,webstercity,41.66,16.0,0.3
2023,Month_5,webstercity,79.76,23.76,8.39
2023,Month_6,webstercity,87.12,27.26,13.54
2023,Month_7,webstercity,40.9,28.2,14.14
2023,Month_8,webstercity,98.81,28.14,15.38
2023,Month_9,webstercity,52.34,25.71,11.36
2024,Month_1,webstercity,39.12,-4.0,-11.24
2024,Month_10,webstercity,27.94,21.96,3.44
2024,Month_11,webstercity,76.97,9.25,-1.7
2024,Month_12,webstercity,1.27,0.63,-12.78
2024,Month_2,webstercity,9.91,9.04,-5.56
2024,Month_3,webstercity,82.31,10.74,-4.19
2024,Month_4,webstercity,74.42,16.37,1.85
2024,Month_5,webstercity,217.93,22.28,7.7
2024,Month_6,webstercity,95.26,27.57,14.94
2024,Month_7,webstercity,132.84,27.01,15.39
2024,Month_8,webstercity,61.47,26.54,14.61
2024,Month_9,webstercity,22.87,26.74,10.11
