Year,Month,Stations,prec,tmax,tmin
2015,Month_1,winterset,4.08,1.08,-10.43
2015,Month_10,winterset,26.67,18.67,5.78
2015,Month_11,winterset,77.48,11.67,1.61
2015,Month_12,winterset,139.71,5.0,-3.28
2015,Month_2,winterset,33.28,-3.02,-14.5
2015,Month_3,winterset,19.31,11.15,-3.41
2015,Month_4,winterset,96.27,17.52,4.19
2015,Month_5,winterset,151.14,21.16,10.25
2015,Month_6,winterset,164.61,26.57,15.92
2015,Month_7,winterset,211.09,27.97,16.79
2015,Month_8,winterset,136.92,26.82,14.62
2015,Month_9,winterset,112.78,26.78,14.58
2016,Month_1,winterset,14.99,-1.81,-10.48
2016,Month_10,winterset,37.85,20.27,8.79
2016,Month_11,winterset,23.88,15.39,2.3
2016,Month_12,winterset,8.13,1.53,-7.99
2016,Month_2,winterset,24.13,4.16,-6.02
2016,Month_3,winterset,50.04,13.05,0.39
2016,Month_4,winterset,98.06,16.31,4.13
2016,Month_5,winterset,113.79,21.47,9.14
2016,Month_6,winterset,52.58,29.31,16.47
2016,Month_7,winterset,146.82,27.63,17.2
2016,Month_8,winterset,120.16,28.13,17.06
2016,Month_9,winterset,177.04,26.59,13.76
2017,Month_1,winterset,27.94,0.19,-6.83
2017,Month_10,winterset,105.16,18.39,6.67
2017,Month_11,winterset,3.3,9.35,-3.07
2017,Month_12,winterset,9.14,2.67,-8.84
2017,Month_2,winterset,14.74,9.78,-3.33
2017,Month_3,winterset,72.92,9.77,-1.13
2017,Month_4,winterset,82.81,16.91,5.35
2017,Month_5,winterset,133.11,21.65,9.05
2017,Month_6,winterset,62.23,29.04,15.31
2017,Month_7,winterset,34.55,30.83,18.69
2017,Month_8,winterset,86.37,26.93,14.33
2017,Month_9,winterset,80.26,26.96,12.92
2018,Month_1,winterset,27.94,-1.83,-12.62
2018,Month_10,winterset,101.6,15.57,3.75
2018,Month_11,winterset,43.69,4.39,-5.56
2018,Month_12,winterset,67.82,3.72,-5.91
2018,Month_2,winterset,37.59,0.42,-10.65
2018,Month_3,winterset,47.5,7.7,-2.22
2018,Month_4,winterset,19.3,11.25,-1.88
2018,Month_5,winterset,122.43,26.7,13.89
2018,Month_6,winterset,240.03,29.0,17.76
2018,Month_7,winterset,40.64,29.81,17.45
2018,Month_8,winterset,71.38,29.28,16.98
2018,Month_9,winterset,233.17,25.13,13.78
2019,Month_1,winterset,51.56,-1.25,-11.04
2019,Month_10,winterset,192.79,14.96,3.1
2019,Month_11,winterset,29.21,6.54,-4.22
2019,Month_12,winterset,25.15,5.23,-5.86
2019,Month_2,winterset,55.63,-3.29,-13.77
2019,Month_3,winterset,56.13,5.32,-4.98
2019,Month_4,winterset,35.05,17.35,3.69
2019,Month_5,winterset,231.14,19.78,8.89
2019,Month_6,winterset,120.65,26.99,15.42
2019,Month_7,winterset,48.01,30.16,18.63
2019,Month_8,winterset,141.48,27.11,16.15
2019,Month_9,winterset,136.91,26.63,15.19
2020,Month_1,winterset,38.86,0.23,-8.69
2020,Month_10,winterset,56.64,14.73,2.37
2020,Month_11,winterset,60.2,13.37,-0.56
2020,Month_12,winterset,39.88,3.54,-7.89
2020,Month_2,winterset,5.33,2.74,-8.89
2020,Month_3,winterset,71.37,11.2,-0.18
2020,Month_4,winterset,54.61,15.72,1.8
2020,Month_5,winterset,145.03,20.02,9.52
2020,Month_6,winterset,66.55,28.91,17.3
2020,Month_7,winterset,77.72,30.37,19.01
2020,Month_8,winterset,34.04,29.33,16.05
2020,Month_9,winterset,97.79,23.2,10.4
2021,Month_1,winterset,38.35,0.69,-8.35
2021,Month_10,winterset,183.64,19.37,7.28
2021,Month_11,winterset,33.53,11.04,-1.39
2021,Month_12,winterset,8.89,7.41,-4.7
2021,Month_2,winterset,14.73,-5.36,-14.7
2021,Month_3,winterset,76.45,12.51,0.45
2021,Month_4,winterset,32.51,16.46,3.35
2021,Month_5,winterset,98.55,20.9,9.77
2021,Month_6,winterset,116.59,29.69,16.53
2021,Month_7,winterset,166.37,29.2,17.69
2021,Month_8,winterset,45.21,29.78,17.63
2021,Month_9,winterset,37.85,27.33,12.41
2022,Month_1,winterset,30.48,-1.99,-15.04
2022,Month_10,winterset,24.13,19.23,2.54
