Year,Month,Biodiesel,Diesel,Price Difference
2014,1,3.28,3.89,-0.61
2014,2,3.37,3.98,-0.61
2014,3,3.7,4.0,-0.3
2014,4,3.76,3.96,-0.2
2014,5,3.75,3.94,-0.19
2014,6,4.02,3.91,0.12
2014,7,3.65,3.88,-0.24
2014,8,3.5,3.84,-0.34
2014,9,3.33,3.79,-0.47
2014,10,3.14,3.68,-0.54
2014,11,3.13,3.65,-0.52
2014,12,3.05,3.41,-0.36
2015,1,2.85,3.0,-0.15
2015,2,2.92,2.86,0.06
2015,3,2.89,2.9,-0.01
2015,4,2.92,2.78,0.13
2015,5,3.11,2.89,0.22
2015,6,3.23,2.87,0.36
2015,7,2.99,2.79,0.2
2015,8,2.61,2.6,0.02
2015,9,2.56,2.51,0.05
2015,10,2.62,2.52,0.1
2015,11,2.61,2.47,0.15
2015,12,2.83,2.31,0.52
2016,1,2.78,2.14,0.63
2016,2,2.91,2.0,0.91
2016,3,3.08,2.09,0.99
2016,4,3.19,2.15,1.04
2016,5,3.32,2.32,1.01
2016,6,3.32,2.42,0.9
2016,7,3.1,2.41,0.7
2016,8,3.32,2.35,0.97
2016,9,3.32,2.39,0.92
2016,10,3.35,2.45,0.9
2016,11,3.47,2.44,1.03
2016,12,3.56,2.51,1.05
2017,1,3.32,2.58,0.74
2017,2,3.2,2.57,0.64
2017,3,3.08,2.55,0.53
2017,4,3.08,2.58,0.5
2017,5,3.19,2.56,0.63
2017,6,3.13,2.51,0.62
2017,7,3.24,2.5,0.75
2017,8,3.29,2.6,0.69
2017,9,3.28,2.79,0.5
2017,10,3.22,2.79,0.43
2017,11,3.27,2.91,0.36
2017,12,3.18,2.91,0.27
2018,1,3.35,3.02,0.33
2018,2,3.19,3.05,0.14
2018,3,3.12,2.99,0.13
2018,4,3.08,3.1,-0.01
2018,5,3.0,3.24,-0.24
2018,6,2.98,3.25,-0.27
2018,7,2.95,3.23,-0.28
2018,8,3.04,3.22,-0.18
2018,9,3.03,3.26,-0.23
2018,10,3.04,3.37,-0.33
2018,11,2.93,3.3,-0.37
2018,12,2.95,3.12,-0.17
2019,1,3.03,2.98,0.05
2019,2,3.11,3.0,0.12
2019,3,2.95,3.08,-0.13
2019,4,2.87,3.12,-0.25
2019,5,2.83,3.16,-0.33
2019,6,2.8,3.09,-0.29
2019,7,2.87,3.05,-0.18
2019,8,2.89,3.01,-0.12
2019,9,2.9,3.02,-0.12
2019,10,2.93,3.05,-0.13
2019,11,2.97,3.07,-0.09
2019,12,3.17,3.06,0.11
2020,1,3.25,3.05,0.2
2020,2,3.1,2.91,0.19
2020,3,2.97,2.73,0.24
2020,4,2.71,2.49,0.22
2020,5,2.67,2.39,0.28
2020,6,2.8,2.41,0.39
2020,7,2.88,2.43,0.45
2020,8,3.12,2.43,0.69
2020,9,2.99,2.41,0.58
2020,10,3.09,2.39,0.7
2020,11,3.39,2.43,0.96
2020,12,3.51,2.59,0.92
2021,1,4.13,2.68,1.45
2021,2,4.42,2.85,1.58
2021,3,4.91,3.15,1.76
2021,4,5.41,3.13,2.28
2021,5,6.05,3.22,2.83
2021,6,5.97,3.29,2.68
2021,7,5.88,3.34,2.54
2021,8,5.56,3.35,2.21
2021,9,5.28,3.38,1.89
2021,10,5.45,3.61,1.83
2021,11,5.57,3.73,1.84
2021,12,5.45,3.64,1.81
2022,1,5.46,3.72,1.74
2022,2,5.93,4.03,1.89
2022,3,6.48,5.11,1.37
2022,4,6.78,5.12,1.66
2022,5,7.09,5.57,1.52
2022,6,6.97,5.75,1.21
2022,7,6.57,5.49,1.08
2022,8,6.71,5.01,1.7
2022,9,6.79,4.99,1.8
2022,10,6.81,5.21,1.6
2022,11,6.72,5.26,1.47
2022,12,5.87,4.71,1.15
2023,1,5.73,4.58,1.16
2023,2,5.54,4.41,1.13
2023,3,5.09,4.21,0.88
2023,4,5.12,4.1,1.02
2023,5,4.99,3.92,1.07
2023,6,5.33,3.8,1.53
2023,7,5.66,3.88,1.78
2023,8,5.65,4.37,1.28
2023,9,5.47,4.56,0.91
2023,10,4.45,4.51,-0.05
2023,11,4.49,4.25,0.23
2023,12,4.56,3.97,0.59
2024,1,5.48,3.85,1.63
2024,2,5.23,4.04,1.19
2024,3,5.24,4.02,1.22
2024,4,4.7,4.0,0.69
2024,5,4.48,3.82,0.66
2024,6,4.92,3.72,1.2
2024,7,4.28,3.81,0.47
2024,8,4.28,3.7,0.58
2024,9,4.23,3.56,0.68
