Year,Month,Biodiesel,Diesel,Price Difference,Region,Value,Stations,prec,tmax,tmin
2015,1,2.85,3.0,-0.15,central,369962000.0,ames 5 se,17.04,-0.79,-11.54
2015,1,2.85,3.0,-0.15,central,369962000.0,ames area,17.2,-0.79,-11.54
2015,1,2.85,3.0,-0.15,central,369962000.0,ames municipal ap,28.97,0.29,-10.68
2015,1,2.85,3.0,-0.15,central,369962000.0,ames-8-wsw,4.83,1.19,-9.76
2015,1,2.85,3.0,-0.15,central,369962000.0,boone,16.27,-0.39,-11.72
2015,1,2.85,3.0,-0.15,central,369962000.0,grinnell-3-sw,19.56,-1.27,-11.83
2015,1,2.85,3.0,-0.15,central,369962000.0,grundy-center,8.39,-2.04,-11.54
2015,1,2.85,3.0,-0.15,central,369962000.0,iowa average,12.45,-0.05,-11.61
2015,1,2.85,3.0,-0.15,central,369962000.0,marshalltown municipal ap,21.87,-0.45,-10.73
2015,1,2.85,3.0,-0.15,central,369962000.0,toledo,17.29,-1.68,-11.45
2015,1,2.85,3.0,-0.15,eastcentral,257582000.0,anamosa3ssw,14.22,-1.72,-10.88
2015,1,2.85,3.0,-0.15,eastcentral,257582000.0,cascade,14.99,-2.53,-12.28
2015,1,2.85,3.0,-0.15,eastcentral,257582000.0,cedarrapids1,14.23,-0.31,-10.24
2015,1,2.85,3.0,-0.15,eastcentral,257582000.0,cedarrapidsarea,21.61,-0.72,-10.95
2015,1,2.85,3.0,-0.15,eastcentral,257582000.0,clinton1,28.2,-0.84,-9.46
2015,1,2.85,3.0,-0.15,eastcentral,257582000.0,dubuquearea,23.63,-2.42,-11.51
2015,1,2.85,3.0,-0.15,eastcentral,257582000.0,iowaeastcentral,18.03,-0.72,-11.37
2015,1,2.85,3.0,-0.15,eastcentral,257582000.0,lowden,32.27,-1.16,-11.33
2015,1,2.85,3.0,-0.15,eastcentral,257582000.0,manchester2,17.02,-2.85,-12.97
2015,1,2.85,3.0,-0.15,eastcentral,257582000.0,maquioketa2w,14.74,-2.74,-11.9
2015,1,2.85,3.0,-0.15,northcentral,364763000.0,algona,23.63,-3.17,-12.59
2015,1,2.85,3.0,-0.15,northcentral,364763000.0,estherville4e,7.62,-3.05,-13.12
2015,1,2.85,3.0,-0.15,northcentral,364763000.0,esthervillemunicipal,4.34,-2.89,-11.54
