Year,Month,Stations,prec,tmax,tmin,Region
2015.0,Month_1,burlington,30.48,0.43,-9.37,southeast
2015.0,Month_10,burlington,56.14,19.02,6.7,southeast
2015.0,Month_11,burlington,157.48,12.78,2.02,southeast
2015.0,Month_12,burlington,123.71,7.67,-0.2,southeast
2015.0,Month_2,burlington,39.12,-3.0,-13.67,southeast
2015.0,Month_3,burlington,9.65,9.44,-3.01,southeast
2015.0,Month_4,burlington,43.18,19.52,5.81,southeast
2015.0,Month_5,burlington,111.0,23.3,12.0,southeast
2015.0,Month_6,burlington,217.93,27.13,16.63,southeast
2015.0,Month_7,burlington,212.09,28.57,18.13,southeast
2015.0,Month_8,burlington,92.97,27.64,16.61,southeast
2015.0,Month_9,burlington,30.74,28.74,15.19,southeast
2016.0,Month_1,burlington,16.01,0.0,-8.87,southeast
2016.0,Month_10,burlington,68.58,21.29,9.95,southeast
2016.0,Month_11,burlington,47.5,14.94,2.07,southeast
2016.0,Month_12,burlington,38.86,0.88,-6.77,southeast
2016.0,Month_2,burlington,36.84,4.07,-5.3,southeast
2016.0,Month_3,burlington,86.36,12.8,1.39,southeast
2016.0,Month_4,burlington,75.69,17.62,5.59,southeast
2016.0,Month_5,burlington,88.9,22.46,10.59,southeast
2016.0,Month_6,burlington,23.62,30.95,17.18,southeast
2016.0,Month_7,burlington,199.64,29.34,19.03,southeast
2016.0,Month_8,burlington,137.92,29.89,19.48,southeast
2016.0,Month_9,burlington,83.31,28.63,15.94,southeast
2017.0,Month_1,burlington,44.2,2.07,-6.35,southeast
2017.0,Month_10,burlington,138.43,19.53,8.49,southeast
2017.0,Month_11,burlington,30.48,8.93,-2.24,southeast
2017.0,Month_12,burlington,12.19,2.9,-7.38,southeast
2017.0,Month_2,burlington,6.61,10.28,-2.46,southeast
2017.0,Month_3,burlington,81.79,10.78,-0.41,southeast
2017.0,Month_4,burlington,163.32,17.98,6.65,southeast
2017.0,Month_5,burlington,94.74,22.37,10.24,southeast
2017.0,Month_6,burlington,22.86,29.67,16.3,southeast
2017.0,Month_7,burlington,147.07,30.89,18.39,southeast
2017.0,Month_8,burlington,142.24,27.5,15.71,southeast
2017.0,Month_9,burlington,1.78,27.22,13.39,southeast
2018.0,Month_1,burlington,22.1,-0.37,-11.43,southeast
2018.0,Month_10,burlington,170.69,16.97,5.73,southeast
2018.0,Month_11,burlington,71.12,4.91,-3.52,southeast
2018.0,Month_12,burlington,62.48,4.94,-4.23,southeast
2018.0,Month_2,burlington,109.48,2.34,-8.04,southeast
2018.0,Month_3,burlington,81.03,8.44,-2.28,southeast
2018.0,Month_4,burlington,26.92,12.13,-0.56,southeast
2018.0,Month_5,burlington,85.6,28.01,14.21,southeast
2018.0,Month_6,burlington,114.55,29.72,18.33,southeast
2018.0,Month_7,burlington,69.34,29.59,18.41,southeast
2018.0,Month_8,burlington,95.5,30.13,18.37,southeast
2018.0,Month_9,burlington,175.77,26.89,15.09,southeast
2019.0,Month_1,burlington,93.22,-0.59,-10.11,southeast
2019.0,Month_10,burlington,65.79,17.11,5.04,southeast
2019.0,Month_11,burlington,41.66,6.95,-3.26,southeast
2019.0,Month_12,burlington,29.72,6.74,-4.82,southeast
2019.0,Month_2,burlington,66.8,0.95,-10.1,southeast
2019.0,Month_3,burlington,94.24,7.63,-3.81,southeast
2019.0,Month_4,burlington,54.61,17.13,4.48,southeast
2019.0,Month_5,burlington,319.02,20.73,10.43,southeast
2019.0,Month_6,burlington,97.03,26.4,15.79,southeast
2019.0,Month_7,burlington,71.12,31.07,20.0,southeast
